bojí	boja	boj	bál	bojac	bojaci			bátie
babre	babrú	babri	babral	babrúc/babrajúc	babrúci/babrajúci		babraný	babranie
bacne	bacnú	bacni	bacol	bacnúc		bacnuvší	bacnutý	bacnutie
badká	badkajú	badkaj	badkal	badkajúc	badkajúci			badkanie
bafčí	bafčia	bafči	bafčil	bafčiac	bafčiaci			bafčenie
bafká	bafkajú	bafkaj	bafkal	bafkajúc	bafkajúci		bafkaný	bafkanie
bafne	bafnú	bafni	bafol	bafnúc		bafnuvší	bafnutý	bafnutie
bahní	bahnia	bahni	bahnil	bahniac	bahniaci		bahnený	bahnenie
bácha	báchajú	báchaj	báchal	báchajúc	báchajúci		báchaný	báchanie
básni	básnia	básni	básnil	básniac	básniaci		básnený	básnenie
bavká	bavkajú	bavkaj	bavkal	bavkajúc	bavkajúci			bavkanie
bedlí	bedlia	bedli	bedlil	bedliac	bedliaci			bedlenie
belie	belejú	belej	belel	belejúc	belejúci			belenie
besní	besnia	besni	besnil	besniac	besniaci			besnenie
bežká	bežkajú	bežkaj	bežkal	bežkajúc	bežkajúci			bežkanie
biedi	biedia	bieď	biedil	biediac	biediaci			biedenie
bieli	bielia	bieľ	bielil	bieliac	bieliaci		bielený	bielenie
bľačí	bľačia	bľač	bľačal	bľačiac	bľačiaci			bľačanie
bláha	bláhajú	bláhaj	bláhal	bláhajúc	bláhajúci			bláhanie
blaží	blažia	blaž	blažil	blažiac	blažiaci		blažený	blaženie
bliká	blikajú	blikaj	blikal	blikajúc	blikajúci			blikanie
blíži	blížia	blíž	blížil	blížiac	blížiaci			blíženie
blúdi	blúdia	blúď	blúdil	blúdiac	blúdiaci			blúdenie
bodne	bodnú	bodni	bodol	bodnúc		bodnuvší	bodnutý	bodnutie
bolí	bolia	boľ	bolel	boliac	boliaci			bolenie
boľká	boľkajú	boľkaj	boľkal	boľkajúc	boľkajúci			boľkanie
bozká	bozkajú	bozkaj	bozkal	bozkajúc	bozkajúci		bozkaný	bozkanie
bráni	bránia	bráň	bránil	brániac	brániaci		bránený	bránenie
bratá	bratajú	brataj	bratal	bratajúc	bratajúci			bratanie
bráva	brávajú	brávaj	brával	brávajúc	brávajúci			brávanie
brble	brblú	brbli	brblal	brblúc/brblajúc	brblúci/brblajúci		brblaný	brblanie
brbce/brbtá	brbcú/brbtajú	brbci/brboc/brbtaj	brbtal	brbtajúc	brbtajúci		brbtaný	brbtanie
brezí	brezia	brez	brezil	breziac	breziaci			brezenie
brhlí	brhlia	brhli	brhlil	brhliac	brhliaci		brhlený	brhlenie
bridí	bridia	briď	bridil	bridiac	bridiaci			bridenie
bŕkne	bŕknu	bŕkni	bŕkol	bŕknuc		bŕknuvší	bŕknutý	bŕknutie
brnčí	brnčia	brnč / brnči	brnčal	brnčiac	brnčiaci			brnčanie
brní	brnia	brň	brnel	brniac	brniaci			brnenie
brnie	brnejú	brnej	brnel	brnejúc	brnejúci			brnenie
brnká	brnkajú	brnkaj	brnkal	brnkajúc	brnkajúci			brnkanie
brodí	brodia	broď	brodil	brodiac	brodiaci		brodený	brodenie
brojí	broja	broj	brojil	brojac	brojaci			brojenie
bručí	bručia	bruč	bručal	bručiac	bručiaci			bručanie
brúsi	brúsia	brús	brúsil	brúsiac	brúsiaci		brúsený	brúsenie
brzdí	brzdia	brzď / brzdi	brzdil	brzdiac	brzdiaci		brzdený	brzdenie
brzne	brznú	brzni	brzol	brznúc	brznúci			brznutie
buble/bublá	bublú/bublajú	bubli/bublaj	bublal	bublúc/bublajúc	bublúci/bublajúci			bublanie
bucne	bucnú	bucni	bucol	bucnúc		bucnuvší	bucnutý	bucnutie
búcha	búchajú	búchaj	búchal	búchajúc	búchajúci		búchaný	búchanie
bzíka	bzíkajú	bzíkaj	bzíkal	bzíkajúc	bzíkajúci			bzíkanie
bzučí	bzučia	bzuč	bzučal	bzučiac	bzučiaci		bzučaný	bzučanie
cabre	cabrú	cabri	cabral	cabrúc/cabrajúc	cabrúci/cabrajúci			cabranie
capká	capkajú	capkaj	capkal	capkajúc	capkajúci		capkaný	capkanie
capne	capnú	capni	capol	capnúc		capnuvší	capnutý	capnutie
cekne	ceknú	cekni	cekol	ceknúc		ceknuvší	ceknutý	ceknutie
celí	celejú	celej	celel	celejúc	celejúci			celenie
cengá	cengajú	cengaj	cengal	cengajúc	cengajúci			cenganie
cibrí	cibria	cibri	cibril	cibriac	cibriaci		cibrený	cibrenie
cická	cickajú	cickaj	cickal	cickajúc	cickajúci		cickaný	cickanie
cieli	cielia	cieľ	cielil	cieliac	cieliaci		cielený	cielenie
cingá	cingajú	cingaj	cingal	cingajúc	cingajúci			cinganie
cinká	cinkajú	cinkaj	cinkal	cinkajúc	cinkajúci			cinkanie
cipčí	cipčia	cipči	cipčal	cipčiac	cipčiaci			cipčanie
cipká	cipkajú	cipkaj	cipkal	cipkajúc	cipkajúci			cipkanie
civie	civejú	civej	civel	civejúc	civejúci			civenie
cloní	clonia	cloň	clonil	cloniac	cloniaci		clonený	clonenie
cmuká	cmukajú	cmukaj	cmukal	cmukajúc	cmukajúci		cmukaný	cmukanie
cmúľa	cmúľajú	cmúľaj	cmúľal	cmúľajúc	cmúľajúci		cmúľaný	cmúľanie
crkne	crknú	crkni	crkol	crknúc		crknuvší	crknutý	crknutie
cucká	cuckajú	cuckaj	cuckal	cuckajúc	cuckajúci		cuckaný	cuckanie
cucle	cucľú	cucli	cucľal	cucľúc/cucľajúc	cucľúci/cucľajúci		cucľaný	cucľanie
cukne	cuknú	cukni	cukol	cuknúc		cuknuvší	cuknutý	cuknutie
cukrí	cukria	cukri	cukril	cukriac	cukriaci		cukrený	cukrenie
cumle	cumľú/cumľajú	cumli/cumľaj	cumľal	cumľúc/cumľajúc	cumľúci/cumľajúci		cumľaný	cumľanie
cupká	cupkajú	cupkaj	cupkal	cupkajúc	cupkajúci			cupkanie
cupne	cupnú	cupni	cupol	cupnúc		cupnuvší	cupnutý	cupnutie
curčí	curčia	curč/curči	curčal	curčiac	curčiaci			curčanie
curgá	curgajú	curgaj	curgal	curgajúc	curgajúci			curganie
curká	curkajú	curkaj	curkal	curkajúc	curkajúci			curkanie
cúvne	cúvnu	cúvni	cúvol	cúvnuc		cúvnuvší	cúvnutý	cúvnutie
cvaká	cvakajú	cvakaj	cvakal	cvakajúc	cvakajúci		cvakaný	cvakanie
cvála	cválajú	cválaj	cválal	cválajúc	cválajúci			cválanie
cvičí	cvičia	cvič	cvičil	cvičiac	cvičiaci		cvičený	cvičenie
cviká	cvikajú	cvikaj	cvikal	cvikajúc	cvikajúci		cvikaný	cvikanie
cvrčí	cvrčia	cvrč	cvrčal	cvrčiac	cvrčiaci			cvrčanie
cvrká	cvrkajú	cvrkaj	cvrkal	cvrkajúc	cvrkajúci		cvrkaný	cvrkanie
cvŕka	cvŕkajú	cvŕkaj	cvŕkal	cvŕkajúc	cvŕkajúci		cvŕkaný	cvŕkanie
čabre	čabrú	čabri	čabral	čabrúc/čabrajúc	čabrúci/čabrajúci			čabranie
čačká	čačkajú	čačkaj	čačkal	čačkajúc	čačkajúci		čačkaný	čačkanie
čadne	čadnú	čadni	čadol	čadnúc	čadnúci			čadnutie
čanká	čankajú	čankaj	čankal	čankajúc	čankajúci		čankaný	čankanie
čapká	čapkajú	čapkaj	čapkal	čapkajúc	čapkajúci		čapkaný	čapkanie
čapne	čapnú	čapni	čapol	čapnúc		čapnuvší	čapnutý	čapnutie
čapce / čaptá	čapcú / čaptajú	čapci / čaptaj	čaptal	čaptajúc	čaptajúci			čaptanie
čepčí	čepčia	čepči	čepčil	čepčiac	čepčiaci		čepčený	čepčenie
čerpá	čerpajú	čerpaj	čerpal	čerpajúc	čerpajúci		čerpaný	čerpanie
čertí	čertia	čerti	čertil	čertiac	čertiaci		čertený	čertenie
česne	česnú	česni	česol	česnúc		česnuvší	česnutý	česnutie
čiaha	čiahajú	číhaj	číhal	čiahajúc	čiahajúci			čiahanie
čiape	čiapu	čiap	čiapal	čiapuc/čiapajúc	čiapuci/čiapajúci		čiapaný	čiapanie
čiara	čiarajú	čiaraj	čiaral	čiarajúc	čiarajúci		čiaraný	čiaranie
čičre	čičrú	čičri	čičral	čičrúc/čičrajúc	čičrúci/čičrajúci			čičranie
čipčí	čipčia	čipči	čipčal	čipčiac	čipčiaci			čipčanie
čistí	čistia	čisť / čisti	čistil	čistiac	čistiaci		čistený	čistenie
čivčí	čivčia	čivč / čivči	čivčal	čivčiac	čivčiaci			čivčanie
čivká	čivkajú	čivkaj	čivkal	čivkajúc	čivkajúci			čivkanie
člení	členia	čleň	členil	členiac	členiaci		členený	členenie
čmára	čmárajú	čmáraj	čmáral	čmárajúc	čmárajúci		čmáraný	čmáranie
čmudí	čmudia	čmuď	čmudil	čmudiac	čmudiaci			čmudenie
črpká	črpkajú	črpkaj	črpkal	črpkajúc	črpkajúci		črpkaný	črpkanie
črpne	črpnú	črpni	črpol	črpnúc		črpnuvší	črpnutý	črpnutie
čučká	čučkajú	čučkaj	čučkal	čučkajúc	čučkajúci			čučkanie
čuchá	čuchajú	čuchaj	čuchal	čuchajúc	čuchajúci		čuchaný	čuchanie
čupí	čupia	čup	čupel	čupiac	čupiaci			čupenie
čupne	čupnú	čupni	čupol	čupnúc		čupnuvší	čupnutý	čupnutie
čurčí	čurčia	čurč / čurči	čurčal	čurčiac	čurčiaci			čurčanie
čurká	čurkajú	čurkaj	čurkal	čurkajúc	čurkajúci			čurkanie
čušká	čuškajú	čuškaj	čuškal	čuškajúc	čuškajúci			čuškanie
čvrká	čvrkajú	čvrkaj	čvrkal	čvrkajúc	čvrkajúci			čvrkanie
čvŕka	čvŕkajú	čvŕkaj	čvŕkal	čvŕkajúc	čvŕkajúci			čvŕkanie
ďavká	ďavkajú	ďavkaj	ďavkal	ďavkajúc	ďavkajúci			ďavkanie
dbáva	dbávajú	dbávaj	dbával	dbávajúc	dbávajúci			dbávanie
dební	debnia	debni	debnil	debniac	debniaci		debnený	debnenie
depce / deptá	depcú / deptajú	depci / deptaj	deptal	depcúc/deptajúc	deptajúci		deptaný	deptanie
divie	divejú	divej	divel	divejúc	divejúci			divenie
dlabe	dlabú	dlab	dlabal	dlabúc/dlabajúc	dlabúci/dlabajúci		dlabaný	dlabanie
dlávi	dlávia	dláv	dlávil	dláviac	dláviaci		dlávený	dlávenie
dlbne	dlbnú	dlbni	dlbol	dlbnúc		dlbnuvší	dlbnutý	dlbnutie
ďobká	ďobkajú	ďobkaj	ďobkal	ďobkajúc	ďobkajúci			ďobkanie
ďobne	ďobnú	ďobni	ďobol	ďobnúc		ďobnuvší	ďobnutý	ďobnutie
doberie	doberú	dober	dobral	doberúc		dobravší	dobraný/dobratý	dobranie/dobratie
dočká	dočkajú	dočkaj	dočkal	dočkajúc		dočkavší	dočkaný	dočkanie
doderie	doderú	doder	dodral	dodrúc/ doderúc		dodravší	dodraný/dodratý	dodranie/dodratie
doženie	doženú	dožeň	dohnal	doženúc		dohnavší	dohnaný	dohnanie
dohnije	dohnijú	dohni	dohnil	dohnijúc		dohnivší	dohnitý	dohnitie
dohrá	dohrajú	dohraj	dohral	dohrajúc		dohravší	dohraný/dohratý	dohranie/dohratie
dojčí	dojčia	dojč / dojči	dojčil	dojčiac	dojčiaci		dojčený	dojčenie
doje	dojedia	dojedz	dojedol	dojediac			dojedený	dojedenie
dokole	dokolú	dokoľ	doklal	dokolúc		doklavší	doklaný	doklanie
doleje	dolejú	dolej	dolial	dolejúc		doliavší	doliaty	doliatie
domôže	domôžu	domôž	domohol	domôžuc				domoženie
doorie	doorú	door	dooral	doorúc		dooravší	dooraný	dooranie
dopne	dopnú	dopni	dopol	dopnúc		dopnuvší	dopnutý	dopnutie
doperie	doperú	doper	dopral	doperúc		dopravší	dopraný/dopratý	dopranie/dopratie
dorastie	dorastú	dorasť / dorasti	dorástol	dorastúc			dorastený	dorastenie
doseje	dosejú	dosej 	dosial	dosejúc		dosiavší 		dosiatie
dospí	dospia	dospi	dospal	dospiac		dospavší	dospaný/dospatý	dospanie/dospatie
dostane	dostanú	dostaň	dostal	dostanúc		dostavší	dostaný	dostanie
dostojí	dostoja	dostoj	dostál	dostojac		dostávší		dostátie
doští	doštia	došť/došti	doštil	doštiac	doštiaci		doštený	doštenie
dotká	dotkajú	dotkaj	dotkal	dotkajúc		dotkavší	dotkaný	dotkanie
doúča	doúčajú	doúčaj	doúčal	doúčajúc	doúčajúci		doúčaný	doúčanie
doučí	doučia	douč	doučil	doučiac		doučivší	doučený	doučenie
doúdi	doúdia	doúď	doúdil	doúdiac		doúdivší	doúdený	doúdenie
doveje	dovejú	dovej	dovial	dovejúc		doviavší	doviaty	doviatie
dozná	doznajú	doznaj	doznal	doznajúc		doznavší	doznaný	doznanie
dožerie	dožerú	dožer	dožral	dožerúc		dožravší	dožraný/dožratý	dožratie/dožranie
dráva	drávajú	drávaj	drával	drávajúc	drávajúci			drávanie
draží	dražia	draž	dražil	dražiac	dražiaci		dražený	draženie
drcne	drcnú	drcni	drcol	drcnúc		drcnuvší	drcnutý	drcnutie
drdle	drdlú	drdli	drdlal	drdlajúc	drdlajúci		drdlaný	drdlanie
drgne	drgnú	drgni	drgol	drgnúc		drgnuvší	drgnutý	drgnutie
drhlí	drhlia	drhli	drhlil	drhliac	drhliaci		drhlený	drhlenie
drhne	drhnú	drhni	drhol	drhnúc	drhnúci		drhnutý	drhnutie
drmne	drmnú	drmni	drmol	drmnúc		drmnuvší	drmnutý	drmnutie
drnčí	drnčia	drnč/drnči	drnčal	drnčiac	drnčiaci			drnčanie
drnká	drnkajú	drnkaj	drnkal	drnkajúc	drnkajúci			drnkanie
drobí	drobia	drob	drobil	drobiac	drobiaci		drobený	drobenie
drúľa	drúľajú	drúľaj	drúľal	drúľajúc	drúľajúci		drúľaný	drúľanie
druží	družia	druž	družil	družiac	družiaci			druženie
ďubká	ďubkajú	ďubkaj	ďubkal	ďubkajúc	ďubkajúci			ďubkanie
ďubne	ďubnú	ďubni	ďubol	ďubnúc		ďubnuvší	ďubnutý	ďubnutie
dudle	dudlú	dudli	dudlal	dudlúc/dudlajúc	dudlúci/dudlajúci			dudlanie
dudre	dudrú	dudri	dudral	dudrúc/dudrajúc	dudrajúci			dudranie
ďugne	ďugnú	ďugni	ďugol	ďugnúc		ďugnuvší	ďugnutý	ďugnutie
dúcha	dúchajú	dúchaj	dúchal	dúchajúc	dúchajúci		dúchaný	dúchanie
duní	dunia	duň	dunel	duniac	duniaci			dunenie
dupčí	dupčia	dupč / dupči	dupčil	dupčiac	dupčiaci		dupčený	dupčenie
dupká	dupkajú	dupkaj	dupkal	dupkajúc	dupkajúci			dupkanie
dupne	dupnú	dupni	dupol	dupnúc		dupnuvší		dupnutie
durdí	durdia	durdi	durdil	durdiac	durdiaci			durdenie
durká	durkajú	durkaj	durkal	durkajúc	durkajúci		durkaný	durkanie
dužie	dužejú	dužej	dužel	dužejúc	dužejúci			duženie
dvíha	dvíhajú	dvíhaj	dvíhal	dvíhajúc	dvíhajúci		dvíhaný	dvíhanie
dvojí	dvoja	dvoj	dvojil	dvojac	dvojaci		dvojený	dvojenie
dvorí	dvoria	dvor	dvoril	dvoriac	dvoriaci			dvorenie
dýcha	dýchajú	dýchaj	dýchal	dýchajúc	dýchajúci		dýchaný	dýchanie
dzeká	dzekajú	dzekaj	dzekal	dzekajúc	dzekajúci			dzekanie
džugá	džugajú	džugaj	džugal	džugajúc	džugajúci		džuganý	džuganie
ehmká	ehmkajú	ehmkaj	ehmkal	ehmkajúc	ehmkajúci			ehmkanie
echká	echkajú	echkaj	echkal	echkajúc	echkajúci			echkanie
erdží	erdžia	erdž / erdži	erdžal	erdžiac	erdžiaci			erdžanie
facká	fackajú	fackaj	fackal	fackajúc	fackajúci		fackaný	fackanie
facne	facnú	facni	facol	facnúc		facnuvší	facnutý	facnutie
fafre	fafrú	fafri	fafral	fafrúc/fafrajúc	fafrúci/fafrajúci			fafranie
fajčí	fajčia	fajč / fajči	fajčil	fajčiac	fajčiaci		fajčený	fajčenie
faklí	faklia	fakli	faklil	fakliac	fakliaci		faklený	faklenie
farbí	farbia	farbi	farbil	farbiac	farbiaci		farbený	farbenie
fikne	fiknú	fikni	fikol	fiknúc		fiknuvší	fiknutý	fiknutie
fintí	fintia	finti	fintil	fintiac	fintiaci		fintený	fintenie
fláka	flákajú	flákaj	flákal	flákajúc	flákajúci		flákaný	flákanie
fľočí	fľočia	fľoč	fľočil	fľočiac	fľočiaci			fľočenie
fľoší	fľošia	fľoš	fľošil	fľošiac	fľošiaci			 fľošenie 
fňuká	fňukajú	fňukaj	fňukal	fňukajúc	fňukajúci			fňukanie
frcká	frckajú	frckaj	frckal	frckajúc	frckajúci		frckaný	frckanie
frcne	frcnú	frcni	frcol	frcnúc		frcnuvší	frcnutý	frcnutie
frfle	frflú	frfli	frflal	frflúc/frflajúc	frflajúci			frflanie
frkne	frknú	frkni	frkol	frknúc		frknuvší	frknutý	frknutie
frndí	frndia	frndi	frndil	frndiac	frndiaci			frndenie
frngá	frngajú	frngaj	frngal	frngajúc	frngajúci			frnganie
frnká	frnkajú	frnkaj	frnkal	frnkajúc	frnkajúci			frnkanie
fŕska	fŕskajú	fŕskaj	fŕskal	fŕskajúc	fŕskajúci			fŕskanie
fufne	fufnú	fufni	fufnal	fufnúc/fufnajúc	fufnúci/fufnajúci			fufnanie
fujká	fujkajú	fujkaj	fujkal	fujkajúc	fujkajúci			fujkanie
fukne	fuknú	fukni	fukol	fuknúc		fuknuvší	fuknutý	fuknutie
fúkne	fúknu	fúkni	fúkol	fúknuc		fúknuvší	fúknutý	fúknutie
funí	funia	fuň	funel	funiac/funejúc	funiaci/funejúci			funenie
gágne	gágnu	gágni	gágol	gágnuc		gágnuvší		gágnutie
gebrí	gebria	gebri	gebril	gebriac	gebriaci		gebrený	gebrenie
glejí	gleja	glej	glejil	glejac	glejaci		glejený	glejenie
glgne	glgnú	glgni	glgol	glgnúc		glgnuvší	glgnutý	glgnutie
grcká	grckajú	grckaj	grckal	grckajúc	grckajúci			grckanie
grgne	grgnú	grgni	grgol	grgnúc		grgnuvší		grgnutie
grúli	grúlia	grúľ	grúlil	grúliac	grúliaci			grúlenie
guľká	guľkajú	guľkaj	guľkal	guľkajúc	guľkajúci		guľkaný	guľkanie
habká	habkajú	habkaj	habkal	habkajúc	habkajúci		habkaný	habkanie
habne	habnú	habni	habol	habnúc		habnuvší		habnutie
hačká	hačkajú	hačkaj	hačkal	hačkajúc	hačkajúci	hačkavší		hačkanie
hačne	hačnú	hačni	hačol	hačnúc		hačnuvší	hačnutý	hačnutie
hádže	hádžu	hádž	hádzal	hádžuc/hádzajúc	hádžuci/hádzajúci		hádzaný	hádzanie
hafká	hafkajú	hafkaj	hafkal	hafkajúc	hafkajúci			hafkanie
hafne	hafnú	hafni	hafol	hafnúc		hafnuvší		hafnutie
hajká	hajkajú	hajkaj	hajkal	hajkajúc	hajkajúci			hajkanie
hamká	hamkajú	hamkaj	hamkal	hamkajúc	hamkajúci		hamkaný	hamkanie
hanbí	hanbia	hanbi	hanbil	hanbiac	hanbiaci		hanbený	hanbenie
harká	harkajú	harkaj	harkal	harkajúc	harkajúci			harkanie
hasne	hasnú	hasni	hasol	hasnúc	hasnúci			hasnutie
hatle	hatlú	hatli	hatlal	hatlúc/hatlajúc	hatlúci/hatlajúci		hatlaný	hatlanie
havká	havkajú	havkaj	havkal	havkajúc	havkajúci		havkaný	havkanie
hegne	hegnú	hegni	hegol	hegnúc		hegnuvší	hegnutý	hegnutie
hekne	heknú	hekni	hekol	heknúc		heknuvší	heknutý	heknutie
hemží	hemžia	hemži	hemžil	hemžiac	hemžiaci			hemženie
híkne	híknu	híkni	híkol	híknuc		híknuvší		híknutie
hľadá	hľadajú	hľadaj	hľadal	hľadajúc	hľadajúci		hľadaný	hľadanie
hladí	hladia	hlaď	hladil	hladiac	hladiaci		hladený	hladenie
hlása	hlásajú	hlásaj	hlásal	hlásajúc	hlásajúci		hlásaný	hlásanie
hlási	hlásia	hlás	hlásil	hlásiac	hlásiaci		hlásený	hlásenie
hlobí	hlobia	hlob	hlobil	hlobiac	hlobiaci		hlobený	hlobenie
hlodá	hlodajú	hlodaj	hlodal	hlodajúc	hlodajúci		hlodaný	hlodanie
hltne	hltnú	hltni	hltol	hltnúc		hltnuvší		hltnutie
hluší	hlušia	hluš	hlušil	hlušiac	hlušiaci		hlušený	hlušenie
hmatá	hmatajú	hmataj	hmatal	hmatajúc	hmatajúci		hmataný	hmatanie
hmkne	hmknú	hmkni	hmkol	hmknúc		hmknuvší		hmknutie
hmýri	hmýria	hmýr	hmýril	hmýriac	hmýriaci			hmýrenie
hnáva	hnávajú	hnávaj	hnával	hnávajúc	hnávajúci			hnávanie
hnevá	hnevajú	hnevaj	hneval	hnevajúc	hnevajúci		hnevaný	hnevanie
hnetie	hnetú	hneť	hnietol	hnetúc	hnetúci		hnetený	hnetenie
hnisá	hnisajú	hnisaj	hnisal	hnisajúc	hnisajúci			hnisanie
hnojí	hnoja	hnoj	hnojil	hnojac	hnojaci		hnojený	hnojenie
hnusí	hnusia	hnus	hnusil	hnusiac	hnusiaci		hnusený	hnusenie
hodlá	hodlajú	hodlaj	hodlal	hodlajúc	hodlajúci			hodlanie
hojdá	hojdajú	hojdaj	hojdal	hojdajúc	hojdajúci		hojdaný	hojdanie
hopká	hopkajú	hopkaj	hopkal	hopkajúc	hopkajúci		hopkaný	hopkanie
hopne	hopnú	hopni	hopol	hopnúc		hopnuvší		hopnutie
hopsá	hopsajú	hopsaj	hopsal	hopsajúc	hopsajúci			hopsanie
horí	horia	hor	horel	horiac	horiaci			horenie
horlí	horlia	horli	horlil	horliac	horliaci			horlenie
horší	horšia	horš / horši	horšil	horšiac	horšiaci			horšenie
hostí	hostia	hosť / hosti	hostil	hostiac	hostiaci		hostený	hostenie
hovie	hovejú	hovej	hovel	hovejúc	hovejúci			hovenie
hovká	hovkajú	hovkaj	hovkal	hovkajúc	hovkajúci			hovkanie
hrabe	hrabú	hrab	hrabal	hrabúc/hrabajúc	hrabúci/hrabajúci		hrabaný	hrabanie
hradí	hradia	hraď	hradil	hradiac	hradiaci		hradený	hradenie
hráva	hrávajú	hrávaj	hrával	hrávajúc	hrávajúci			hrávanie
hrdne	hrdnú	hrdni	hrdol	hrdnúc	hrdnúci			hrdnutie
hreší	hrešia	hreš	hrešil	hrešiac	hrešiaci		hrešený	hrešenie
hrkne	hrknú	hrkni	hrkol	hrknúc		hrknuvší	hrknutý	hrknutie
hrmí	hrmia	hrm	hrmel	hrmiac	hrmiaci			hrmenie
hrotí	hrotia	hroť	hrotil	hrotiac	hrotiaci			hrotenie
hrozí	hrozia	hroz	hrozil	hroziac	hroziaci			hrozenie
hrúži	hrúžia	hrúž	hrúžil	hrúžiac	hrúžiaci			hrúženie
hucká	huckajú	huckaj	huckal	huckajúc	huckajúci		huckaný	huckanie
hudre	hudrú	hudri	hudral	hudrúc/hudrajúc	hudrajúci			hudranie
huhle	huhlú	huhli	huhlal	huhlúc/huhlajúc	huhlúci/huhlajúci		huhlaný	huhlanie
huhne	huhňú/huhňajú	huhni	huhňal	huhňúc/huhňajúc	huhňúci/huhňajúci		huhňaný	huhňanie
húkne	húknu	húkni	húkol	húknuc		húknuvší		húknutie
hupká	hupkajú	hupkaj	hupkal	hupkajúc	hupkajúci			hupkanie
hupne	hupnú	hupni	hupol	hupnúc		hupnuvší		hupnutie
hustí	hustia	husť / husti	hustil	hustiac	hustiaci		hustený	hustenie
húžve/húžva	húžvu/húžvajú	húžvi/húžvaj	húžval	húžvuc/húžvajúc	húžvuci/húžvajúci		húžvaný	húžvanie
húžvi	húžvia	húžvi	húžvil	húžviac	húžviaci		húžvený	húžvenie
hyzdí	hyzdia	hyzď / hyzdi	hyzdil	hyzdiac	hyzdiaci		hyzdený	hyzdenie
chápe	chápu	cháp	chápal	chápuc/chápajúc	chápuci/chápajúci		chápaný	chápanie
chce	chcú	chci	chcel	chcúc/chcejúc	chcúci/chcejúci		chcený	chcenie
chlpí	chlpia	chlp	chlpil	chlpiac	chlpiaci		chlpený	chlpenie
chodí	chodia	choď	chodil	chodiac	chodiaci			chodenie
chopí	chopia	chop	chopil	chopiac		chopivší	chopený	chopenie
chová	chovajú	chovaj	choval	chovajúc	chovajúci		chovaný	chovanie
chrčí	chrčia	chrč	chrčal	chrčiac	chrčiaci			chrčanie
chŕka	chŕkajú	chŕkaj	chŕkal	chŕkajúc	chŕkajúci			chŕkanie
chrlí	chrlia	chrľ	chrlil	chrliac	chrliaci		chrlený	chrlenie
chúli	chúlia	chúľ	chúlil	chúliac	chúliaci			chúlenie
chutí	chutia	chuť	chutil	chutiac	chutiaci			chutenie
chveje	chvejú	chvej	chvel	chvejúc	chvejúci			chvenie
chýba	chýbajú	chýbaj	chýbal	chýbajúc	chýbajúci			chýbanie
chybí	chybia	chyb	chybil	chybiac		chybivší	chybený	chybenie
chýli	chýlia	chýľ	chýlil	chýliac	chýliaci		chýlený	chýlenie
chýri	chýria	chýr	chýril	chýriac	chýriaci		chýrený	chýrenie
chytá	chytajú	chytaj	chytal	chytajúc	chytajúci		chytaný	chytanie
chytí	chytia	chyť	chytil	chytiac			chytený	chytenie
chytí	chytia	chyť	chytil	chytiac	chytiaci		chytený	chytenie
iskrí	iskria	iskri	iskril	iskriac	iskriaci			iskrenie
jahní	jahnia	jahni	jahnil	jahniac	jahniaci			jahnenie
jachá	jachajú	jachaj	jachal	jachajúc	jachajúci			jachanie
jajčí	jajčia	jajč / jajči	jajčal	jajčiac	jajčiaci			jajčanie
jajká	jajkajú	jajkaj	jajkal	jajkajúc	jajkajúci			jajkanie
jančí	jančia	janči	jančil	jančiac	jančiaci			jančenie
jarmí	jarmia	jarmi	jarmil	jarmiac	jarmiaci		jarmený	jarmenie
jasní	jasnia	jasni	jasnil	jasniac	jasniaci		jasnený	jasnenie
jatrí	jatria	jatri	jatril	jatriac	jatriaci		jatrený	jatrenie
jazdí	jazdia	jazď / jazdi	jazdil	jazdiac	jazdiaci		jazdený	jazdenie
jazví	jazvia	jazvi	jazvil	jazviac	jazviaci		jazvený	jazvenie
jedná	jednajú	jednaj	jednal	jednajúc	jednajúci		jednaný	jednanie
jojčí	jojčia	jojč / jojči	jojčal	jojčiac	jojčiaci			jojčanie
jojká	jojkajú	jojkaj	jojkal	jojkajúc	jojkajúci			jojkanie
jujká	jujkajú	jujkaj	jujkal	jujkajúc	jujkajúci			jujkanie
kačká	kačkajú	kačkaj	kačkal	kačkajúc	kačkajúci			kačkanie
kafre	kafrú	kafri	kafral	kafrúc/kafrajúc	kafrúci/kafrajúci			kafranie
kašle	kašlú	kašli	kašlal	kašlúc/kašlajúc	kašlúci/kašlajúci		kašlaný	kašlanie
kašle	kašľú	kašli	kašľal	kašľúc/kašľajúc	kašľúci/kašľajúci		kašľaný	kašľanie
kefne	kefnú	kefni	kefol	kefnúc		kefnuvší	kefnutý	kefnutie
kľačí	kľačia	kľač	kľačal	kľačiac	kľačiaci			kľačanie
kľagá	kľagajú	kľagaj	kľagal	kľagajúc	kľagajúci		kľaganý	kľaganie
kľaká	kľakajú	kľakaj	kľakal	kľakajúc	kľakajúci			kľakanie
klame	klamú	klam	klamal	klamúc/klamajúc	klamúci/klamajúci		klamaný	klamanie
klania	klaňajú	klaňaj	klaňal	klaňajúc	klaňajúci			klaňanie
klape	klapú	klap	klapal	klapúc/klapajúc	klapúci/klapajúci			klapanie
klasí	klasia	klas	klasil	klasiac	klasiaci			klasenie
kláti	klátia	kláť	klátil	klátiac	klátiaci		klátený	klátenie
klbčí	klbčia	klbči	klbčil	klbčiac	klbčiaci			klbčenie
klenie	klenú	kleň	klenul	klenúc	klenúci		klenutý	klenutie
