bojí	boja	boj	bál	bojac	bojaci			bátie
čará	čarajú	čaraj	čaral	čarajúc	čarajúci	čaravší	čaraný	čaranie
čarí	čaria	čar 	čaril	čariac	čariaci		čarený	čarenie
časí			časilo					časenie
čelí	čelia	čeľ	čelil	čeliac	čeliaci			čelenie
čerí	čeria	čer	čeril	čeriac	čeriaci		čerený	čerenie
češe	češú	češ	česal	češúc/česajúc	češúci/česajúci		česaný	česanie
číha	číhajú	číhaj	číhal	číhajúc	číhajúci			číhanie
činí	činia	čiň	činil	činiac	činiaci		činený	činenie
číri	číria	čír	číril	číriac	číriaci		čírený	čírenie
číta	čítajú	čítaj	čítal	čítajúc	čítajúci		čítaný	čítanie
čnie	čnejú	čnej	čnel	čnejúc	čnejúci			čnenie
čpie	čpejú	čpej	čpel	čpejúc	čpejúci			čpenie
črtá	črtajú	črtaj	črtal	črtajúc	črtajúci		črtaný	črtanie
čučí	čučia	čuč	čučal	čučiac	čučiaci			čučanie
čupí	čupia	čup	čupil	čupiac	čupiaci			čupenie
čurá	čurajú	čuraj	čural	čurajúc	čurajúci			čuranie
čúra	čúrajú	čúraj	čúral	čúrajúc	čúrajúci			čúranie
čuší	čušia	čuš	čušal	čušiac	čušiaci			čušanie
darí	daria	dar	daril	dariac	dariaci			darenie
dáva	dávajú	dávaj	dával	dávajúc	dávajúci		dávaný	dávanie
dávi	dávia	dáv 	dávil	dáviac	dáviaci		dávený	dávenie
dedí	dedia	deď	dedil	dediac	dediaci		dedený	dedenie
delí	delia	deľ	delil	deliac	deliaci		delený	delenie
desí	desia	des	desil	desiac	desiaci		desený	desenie
díva	dívajú	dívaj	díval	dívajúc	dívajúci			dívanie
diví	divia	div	divil	diviac	diviaci			divenie
dlbe	dlbú	dlb	dlbal	dlbúc/dlbajúc	dlbúci/dlbajúci		dlbaný	dlbanie
dĺži	dĺžia	dĺž	dĺžil	dĺžiac	dĺžiaci		dĺžený	dĺženie
ďobe	ďobú	ďob/ďobaj	ďobal	ďobúc/ďobajúc	ďobúci/ďobajúci		ďobaný	ďobanie
dobije	dobijú	dobi	dobil	dobijúc		dobivší	dobitý	dobitie
dobyje	dobyjú	doby	dobyl	dobyjúc		dobyvší	dobytý	dobytie
dočuje	dočujú	dočuj	dočul	dočujúc		dočuvší	dočutý	dočutie
dodá	dodajú	dodaj	dodal	dodajúc		dodavší	dodaný	dodanie
dojme	dojmú	dojmi	dojal	dojmúc		dojavší	dojatý 	dojatie
dojí	doja	doj 	dojil	dojac	dojaci		dojený 	dojenie
dokuje	dokujú	dokuj	dokul	dokujúc		dokuvší	dokutý	dokutie
dopne	dopnú	dopni	dopäl/dopol	dopnúc		dopävší/dopnuvší	dopätý/dopnutý	dopätie/dopnutie
dopije	dopijú	dopi	dopil	dopijúc		dopivší	dopitý 	dopitie
doryje	doryjú	dory	doryl	doryjúc		doryvší	dorytý	dorytie
došije	došijú	doši	došil	došijúc		došivší	došitý	došitie
dotne	dotnú	dotni	doťal	dotnúc		doťavší	doťatý	doťatie
dovije	dovijú	dovi	dovil	dovijúc		dovivší	dovitý	dovitie
dožne	dožnú	dožni	dožal	dožnúc		dožavší	dožatý	dožatie
dožije	dožijú	doži	dožil	dožijúc		doživší	dožitý 	dožitie
dožuje	dožujú	dožuj	dožul	dožujúc		dožuvší	dožutý	dožutie
dôjde	dôjdu	dôjdi	došiel	dôjduc			dôjdený	dôjdenie
drgá	drgajú	drgaj	drgal	drgajúc	drgajúci		drganý	drganie
drie	drú	dri	drel	drúc	drúci		drený/dretý	drenie/dretie
drme	drmú/drmajú	drm/drmaj	drmal	drmúc/drmajúc	drmúcidrmajúci		drmaný	drmanie
drví	drvia	drv	drvil	drviac	drviaci		drvený	drvenie
drží	držia	drž	držal	držiac	držiaci		držaný	držanie
ďube	ďubú	ďub/ďubaj	ďubal	ďubúc/ďubajúc	ďubúci/ďubajúci		ďubaný	ďubanie
dučí	dučia	duč	dučal	dučiac	dučiaci			dučanie
dudá	dudajú	dudaj	dudal	dudajúc	dudajúci		dudaný	dudanie
dúda	dúdajú	dúdaj	dúdal	dúdajúc	dúdajúci		dúdaný	dúdanie
dúfa	dúfajú	dúfaj	dúfal	dúfajúc	dúfajúci			dúfanie
ďugá 	ďugajú	ďugaj	ďugal	ďugajúc	ďugajúci		ďuganý	ďuganie
dumá	dumajú	dumaj	dumal	dumajúc	dumajúci			dumanie
dupe/dupá	dupú/dupajú	dup/dupaj	dupal	dupúc/dupajúc	dupajúci		dupaný	dupanie
durí	duria	dur	duril	duriac	duriaci		durený	durenie
dusí	dusia	dus	dusil	dusiac	dusiaci		dusený	dusenie
duší	dušia	duš	dušil	dušiac	dušiaci			dušenie
dymí	dymia	dym	dymil	dymiac	dymiaci			dymenie
džgá	džgajú	džgaj	džgal	džgajúc	džgajúci		džganý	džganie
fára	fárajú	fáraj	fáral	fárajúc	fárajúci			fáranie
fičí	fičia	fič	fičal	fičiac	fičiaci			fičanie
fiká	fikajú	fikaj	fikal	fikajúc	fikajúci		fikaný	fikanie
fotí	fotia	foť	fotil	fotiac	fotiaci		fotený	fotenie
frčí	frčia	frč	frčal	frčiac	frčiaci			frčanie
fŕka	fŕkajú	fŕkaj	fŕkal	fŕkajúc	fŕkajúci		fŕkaný	fŕkanie
fŕľa	fŕľajú	fŕľaj	fŕľal	fŕľajúc	fŕľajúci			fŕľanie
fučí	fučia	fuč	fučal	fučiac	fučiaci			fučanie
fúka	fúkajú	fúkaj	fúkal	fúkajúc	fúkajúci		fúkaný	fúkanie
fúľa	fúľajú	fúľaj	fúľal	fúľajúc	fúľajúci		fúľaný	fúľanie
funí	funia	fuň	fuňal	funiac/fuňajúc	funiaci/fuňajúci			fuňanie
gága	gágajú	gágaj	gágal	gágajúc	gágajúci			gáganie
gáni	gánia	gáň	gánil	gániac	gániaci			gánenie
glgá	glgajú	glgaj	glgal	glgajúc	glgajúci		glganý	glganie
grcia	grcajú	grcaj	grcal	grcajúc	grcajúci			grcanie
grgá	grgajú	grgaj	grgal	grgajúc	grgajúci			grganie
gúľa	gúľajú	gúľaj	gúľal	gúľajúc	gúľajúci		gúľaný	gúľanie
habe	habú	hab	habal	habúc/habajúc	habúci/habajúci		habaný	habanie
hačá	hačajú	hačaj	hačal	hačajúc	hačajúci	hačavší		hačanie
háči	háčia	háč	háčil	háčiac	háčiaci			háčenie
háda	hádajú	hádaj	hádal	hádajúc	hádajúci		hádaný	hádanie
hadí	hadia	haď	hadil	hadiac	hadiaci			hadenie
hajá	hajajú	hajaj	hajal	hajajúc	hajajúci			hajanie
háji	hája	háj	hájil	hájac	hájaci		hájený	hájenie
halí	halia	haľ	halil	haliac	haliaci		halený	halenie
hamá	hamajú	hamaj	hamal	hamajúc	hamajúci		hamaný	hamanie
haní	hania	haň	hanil	haniac	haniaci		hanený	hanenie
hapá	hapajú	hapaj	hapal	hapajúc		hapavší	hapaný	hapanie
hasí	hasia	has	hasil	hasiac	hasiaci		hasený	hasenie
hatá	hatajú	hac/hataj	hatal	hatajúc	hatajúci		hataný	hatanie
hatí	hatia	hať	hatil	hatiac	hatiaci		hatený	hatenie
hegá	hegajú	hegaj	hegal	hegajúc	hegajúci		heganý	heganie
híka	híkajú	híkaj	híkal	híkajúc	híkajúci			híkanie
hĺba	hĺbajú	hĺbaj	hĺbal	hĺbajúc	hĺbajúci			hĺbanie
hĺbi	hĺbia	hĺb	hĺbil	hĺbiac	hĺbiaci		hĺbený	hĺbenie
